StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2022-01-04 20:00:00+00:00,2022-01-04 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7787,2022-01-04 20:00:00+00:00
2022-01-04 21:00:00+00:00,2022-01-04 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7799,2022-01-04 21:00:00+00:00
2022-01-04 22:00:00+00:00,2022-01-04 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7798,2022-01-04 22:00:00+00:00
2022-01-04 23:00:00+00:00,2022-01-05 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-04 23:00:00+00:00
2022-01-05 00:00:00+00:00,2022-01-05 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7799,2022-01-05 00:00:00+00:00
2022-01-05 01:00:00+00:00,2022-01-05 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7797,2022-01-05 01:00:00+00:00
2022-01-05 02:00:00+00:00,2022-01-05 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7793,2022-01-05 02:00:00+00:00
2022-01-05 03:00:00+00:00,2022-01-05 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7796,2022-01-05 03:00:00+00:00
2022-01-05 04:00:00+00:00,2022-01-05 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7789,2022-01-05 04:00:00+00:00
2022-01-05 05:00:00+00:00,2022-01-05 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-05 05:00:00+00:00
2022-01-05 06:00:00+00:00,2022-01-05 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7796,2022-01-05 06:00:00+00:00
2022-01-05 07:00:00+00:00,2022-01-05 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7795,2022-01-05 07:00:00+00:00
2022-01-05 08:00:00+00:00,2022-01-05 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7787,2022-01-05 08:00:00+00:00
2022-01-05 09:00:00+00:00,2022-01-05 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7800,2022-01-05 09:00:00+00:00
2022-01-05 10:00:00+00:00,2022-01-05 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7806,2022-01-05 10:00:00+00:00
2022-01-05 11:00:00+00:00,2022-01-05 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7799,2022-01-05 11:00:00+00:00
2022-01-05 12:00:00+00:00,2022-01-05 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-05 12:00:00+00:00
2022-01-05 13:00:00+00:00,2022-01-05 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-05 13:00:00+00:00
2022-01-05 14:00:00+00:00,2022-01-05 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-05 14:00:00+00:00
2022-01-05 15:00:00+00:00,2022-01-05 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7804,2022-01-05 15:00:00+00:00
2022-01-05 16:00:00+00:00,2022-01-05 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7806,2022-01-05 16:00:00+00:00
2022-01-05 17:00:00+00:00,2022-01-05 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7801,2022-01-05 17:00:00+00:00
2022-01-05 18:00:00+00:00,2022-01-05 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7800,2022-01-05 18:00:00+00:00
2022-01-05 19:00:00+00:00,2022-01-05 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7805,2022-01-05 19:00:00+00:00
2022-01-05 20:00:00+00:00,2022-01-05 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7797,2022-01-05 20:00:00+00:00
2022-01-05 21:00:00+00:00,2022-01-05 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7797,2022-01-05 21:00:00+00:00
2022-01-05 22:00:00+00:00,2022-01-05 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7805,2022-01-05 22:00:00+00:00
2022-01-05 23:00:00+00:00,2022-01-06 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7782,2022-01-05 23:00:00+00:00
2022-01-06 00:00:00+00:00,2022-01-06 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7778,2022-01-06 00:00:00+00:00
