StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10YSE-1--------K,MAW,B14,6329,2022-01-01 14:00:00+00:00
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10YSE-1--------K,MAW,B14,6344,2022-01-01 15:00:00+00:00
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10YSE-1--------K,MAW,B14,6344,2022-01-01 16:00:00+00:00
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10YSE-1--------K,MAW,B14,6349,2022-01-01 17:00:00+00:00
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10YSE-1--------K,MAW,B14,6353,2022-01-01 18:00:00+00:00
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10YSE-1--------K,MAW,B14,6354,2022-01-01 19:00:00+00:00
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+00:00,10YSE-1--------K,MAW,B14,6354,2022-01-01 20:00:00+00:00
2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+00:00,10YSE-1--------K,MAW,B14,6356,2022-01-01 21:00:00+00:00
2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-01 22:00:00+00:00
2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+00:00,10YSE-1--------K,MAW,B14,6357,2022-01-01 23:00:00+00:00
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-02 00:00:00+00:00
2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+00:00,10YSE-1--------K,MAW,B14,6357,2022-01-02 01:00:00+00:00
2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-02 02:00:00+00:00
2022-01-02 03:00:00+00:00,2022-01-02 04:00:00+00:00,10YSE-1--------K,MAW,B14,6360,2022-01-02 03:00:00+00:00
2022-01-02 04:00:00+00:00,2022-01-02 05:00:00+00:00,10YSE-1--------K,MAW,B14,6361,2022-01-02 04:00:00+00:00
2022-01-02 05:00:00+00:00,2022-01-02 06:00:00+00:00,10YSE-1--------K,MAW,B14,6360,2022-01-02 05:00:00+00:00
2022-01-02 06:00:00+00:00,2022-01-02 07:00:00+00:00,10YSE-1--------K,MAW,B14,6361,2022-01-02 06:00:00+00:00
2022-01-02 07:00:00+00:00,2022-01-02 08:00:00+00:00,10YSE-1--------K,MAW,B14,6360,2022-01-02 07:00:00+00:00
2022-01-02 08:00:00+00:00,2022-01-02 09:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-02 08:00:00+00:00
2022-01-02 09:00:00+00:00,2022-01-02 10:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-02 09:00:00+00:00
2022-01-02 10:00:00+00:00,2022-01-02 11:00:00+00:00,10YSE-1--------K,MAW,B14,6359,2022-01-02 10:00:00+00:00
2022-01-02 11:00:00+00:00,2022-01-02 12:00:00+00:00,10YSE-1--------K,MAW,B14,6360,2022-01-02 11:00:00+00:00
2022-01-02 12:00:00+00:00,2022-01-02 13:00:00+00:00,10YSE-1--------K,MAW,B14,6387,2022-01-02 12:00:00+00:00
2022-01-02 13:00:00+00:00,2022-01-02 14:00:00+00:00,10YSE-1--------K,MAW,B14,6412,2022-01-02 13:00:00+00:00
2022-01-02 14:00:00+00:00,2022-01-02 15:00:00+00:00,10YSE-1--------K,MAW,B14,6414,2022-01-02 14:00:00+00:00
2022-01-02 15:00:00+00:00,2022-01-02 16:00:00+00:00,10YSE-1--------K,MAW,B14,6413,2022-01-02 15:00:00+00:00
2022-01-02 16:00:00+00:00,2022-01-02 17:00:00+00:00,10YSE-1--------K,MAW,B14,6414,2022-01-02 16:00:00+00:00
2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,10YSE-1--------K,MAW,B14,6414,2022-01-02 17:00:00+00:00
2022-01-02 18:00:00+00:00,2022-01-02 19:00:00+00:00,10YSE-1--------K,MAW,B14,6413,2022-01-02 18:00:00+00:00
