StartTime,EndTime,AreaID,UnitName,quantity_B19,hourly_time,total_green_energy,Load
2022-01-30 00:00:00+00:00,2022-01-30 01:00:00+00:00,10Y1001A1001A92E,MAW,29,2022-01-30 00:00:00+00:00,29,1399.0
2022-01-30 01:00:00+00:00,2022-01-30 02:00:00+00:00,10Y1001A1001A92E,MAW,54,2022-01-30 01:00:00+00:00,54,1261.0
2022-01-30 02:00:00+00:00,2022-01-30 03:00:00+00:00,10Y1001A1001A92E,MAW,80,2022-01-30 02:00:00+00:00,80,1242.0
2022-01-30 03:00:00+00:00,2022-01-30 04:00:00+00:00,10Y1001A1001A92E,MAW,120,2022-01-30 03:00:00+00:00,120,1194.0
2022-01-30 04:00:00+00:00,2022-01-30 05:00:00+00:00,10Y1001A1001A92E,MAW,156,2022-01-30 04:00:00+00:00,156,1156.0
2022-01-30 05:00:00+00:00,2022-01-30 06:00:00+00:00,10Y1001A1001A92E,MAW,279,2022-01-30 05:00:00+00:00,279,1148.0
2022-01-30 06:00:00+00:00,2022-01-30 07:00:00+00:00,10Y1001A1001A92E,MAW,499,2022-01-30 06:00:00+00:00,499,1258.0
2022-01-30 07:00:00+00:00,2022-01-30 08:00:00+00:00,10Y1001A1001A92E,MAW,874,2022-01-30 07:00:00+00:00,874,1530.0
2022-01-30 08:00:00+00:00,2022-01-30 09:00:00+00:00,10Y1001A1001A92E,MAW,1594,2022-01-30 08:00:00+00:00,1594,1892.0
2022-01-30 09:00:00+00:00,2022-01-30 10:00:00+00:00,10Y1001A1001A92E,MAW,2150,2022-01-30 09:00:00+00:00,2150,2147.0
2022-01-30 10:00:00+00:00,2022-01-30 11:00:00+00:00,10Y1001A1001A92E,MAW,2640,2022-01-30 10:00:00+00:00,2640,2285.0
2022-01-30 11:00:00+00:00,2022-01-30 12:00:00+00:00,10Y1001A1001A92E,MAW,3342,2022-01-30 11:00:00+00:00,3342,2317.0
2022-01-30 12:00:00+00:00,2022-01-30 13:00:00+00:00,10Y1001A1001A92E,MAW,3438,2022-01-30 12:00:00+00:00,3438,2335.0
2022-01-30 13:00:00+00:00,2022-01-30 14:00:00+00:00,10Y1001A1001A92E,MAW,3478,2022-01-30 13:00:00+00:00,3478,2393.0
2022-01-30 14:00:00+00:00,2022-01-30 15:00:00+00:00,10Y1001A1001A92E,MAW,3742,2022-01-30 14:00:00+00:00,3742,2340.0
2022-01-30 15:00:00+00:00,2022-01-30 16:00:00+00:00,10Y1001A1001A92E,MAW,3808,2022-01-30 15:00:00+00:00,3808,2335.0
2022-01-30 16:00:00+00:00,2022-01-30 17:00:00+00:00,10Y1001A1001A92E,MAW,3824,2022-01-30 16:00:00+00:00,3824,2424.0
2022-01-30 17:00:00+00:00,2022-01-30 18:00:00+00:00,10Y1001A1001A92E,MAW,3766,2022-01-30 17:00:00+00:00,3766,2722.0
2022-01-30 18:00:00+00:00,2022-01-30 19:00:00+00:00,10Y1001A1001A92E,MAW,3614,2022-01-30 18:00:00+00:00,3614,1423.0
2022-01-30 19:00:00+00:00,2022-01-30 20:00:00+00:00,10Y1001A1001A92E,MAW,3650,2022-01-30 19:00:00+00:00,3650,1255.0
2022-01-30 20:00:00+00:00,2022-01-30 21:00:00+00:00,10Y1001A1001A92E,MAW,3666,2022-01-30 20:00:00+00:00,3666,2383.0
2022-01-30 21:00:00+00:00,2022-01-30 22:00:00+00:00,10Y1001A1001A92E,MAW,3117,2022-01-30 21:00:00+00:00,3117,2180.0
2022-01-30 22:00:00+00:00,2022-01-30 23:00:00+00:00,10Y1001A1001A92E,MAW,3036,2022-01-30 22:00:00+00:00,3036,1964.0
